,index,Escola,UF,Município,Endereço
2235,75478,EE - COLEGIO ESTADUAL TEIXEIRA DE FREITAS,BA,Senhor do Bonfim,"R. RUA ANTONIO LAURINDO, 324 PATIO II. CENTRO. 48970-000 Senhor do Bonfim - BA."
2236,75479,ESCOLA MUNICIPAL PROFESSORA JOSEFA DA SILVA CASTRO,BA,Senhor do Bonfim,"RUA OTAVIO MANGABEIRA, SN IGARA. 48970-000 Senhor do Bonfim - BA."
2237,75480,ESCOLA MATERNAL FUNDACAO BONFINENSE LBA,BA,Senhor do Bonfim,"RUA ANTONIO VICENTE, SN SENHOR DO BONFIM. 48970-000 Senhor do Bonfim - BA."
2238,75481,ESCOLA MUNICIPAL DE PASSAGEM VELHA,BA,Senhor do Bonfim,"POVOADO DE PASSAGEM VELHA, SN PREDIO ESCOLAR. PASSAGEM VELHA. 48970-000 Senhor do Bonfim - BA."
2239,75482,ESCOLA MUNICIPAL FAZENDA TABOA,BA,Senhor do Bonfim,"FAZENDA TABOA, SN 48970-000 Senhor do Bonfim - BA."
2240,75483,ESCOLA MUNICIPAL JOAO TOMAZ DE SANTANA LIONS,BA,Senhor do Bonfim,"RUA ANTONIO VICENTE, 130 CENTRO. 48970-000 Senhor do Bonfim - BA."
2241,75484,ESCOLA MUNICIPAL DE 1 GRAU ANTONIO BASTOS DE MIRANDA,BA,Senhor do Bonfim,"RUA SEBASTIAO QUEIROZ, SN SENHOR DO BONFIM. 48970-000 Senhor do Bonfim - BA."
2242,75485,ESCOLA MUNICIPAL CALDERAO DE DENTRO,BA,Senhor do Bonfim,"FAZENDA CALDERAO DE DENTRO, SN IGARA. 48970-000 Senhor do Bonfim - BA."
2243,75486,ESCOLA MUNICIPAL DE 1 GRAU DE ESTIVA,BA,Senhor do Bonfim,"RUA DA IGREJA, SN POVOADO. POVOADO DE ESTIVA. 48970-000 Senhor do Bonfim - BA."
2244,75487,GRUPO ESCOLAR CANDIDO FELIX MARTINS,BA,Senhor do Bonfim,"RUA NOSSA SENHORA DE FATIMA, SN ALTO DA MARAVILHA. 48970-000 Senhor do Bonfim - BA."
2245,75488,EE - COLEGIO ESTADUAL CAZUZA TORRES,BA,Senhor do Bonfim,"RUA CANDIDO DUARTE, 87 CASA. GAMBOA. 48970-000 Senhor do Bonfim - BA."
2246,75489,ESCOLA MUNICIPAL DR LUIS VIANA FILHO,BA,Senhor do Bonfim,"PRACA SIMOES FILHO, SN SENHOR DO BONFIM. 48970-000 Senhor do Bonfim - BA."
2247,75490,ESCOLA MUNICIPAL THOMAZ GUIMARAES,BA,Senhor do Bonfim,"RUA THOMAZ GUIMARAES, SN SANTOS DUMONT. 48970-000 Senhor do Bonfim - BA."
2248,75491,EE - INSTITUTO PSICO PEDAGOGICO DE BONFIM,BA,Senhor do Bonfim,"TRAVESSA JOSE COELHO, SN CASA. OLARIA. 48970-000 Senhor do Bonfim - BA."
2249,75492,ESCOLA MUNICIPAL CACO DE TELHA,BA,Senhor do Bonfim,"POVOADO DE CACO DE TELHA, SN CARRAPICHEL. 48970-000 Senhor do Bonfim - BA."
2250,75493,ESCOLA MUNICIPAL SANTO ANTONIO,BA,Senhor do Bonfim,"POVOADO DE BARROCA DO FALEIRO, SN BARROCA DO FALEIRO. 48970-000 Senhor do Bonfim - BA."
2251,75494,EE - COLEGIO ESTADUAL ENEDINA CAMPOS BARBOSA - DIST CARRAPICHEL,BA,Senhor do Bonfim,"R. RUA ATAHUALPA DE MENEZES, 00185 CARRAPICHEL. 48970-000 Senhor do Bonfim - BA."
2252,75495,ESCOLA MUNICIPAL LAGOA DO PEIXE,BA,Senhor do Bonfim,"POVOADO DE LAGOA DO PEIXE, SN CARRAPICHEL. 48970-000 Senhor do Bonfim - BA."
2253,75496,ESCOLA MUNICIPAL MULUNGU DE CIMA,BA,Senhor do Bonfim,"FAZENDA DE MULUNGU DE CIMA, SN CARRAPICHEL. 48970-000 Senhor do Bonfim - BA."
2254,75497,EE - COLEGIO ESTADUAL PROFESSORA MARIANA AGOSTINHO DE OLIVEIRA DIST DE IGARA,BA,Senhor do Bonfim,"R. RUA SAO JOAO, 00113 PDESCOLAR. CENTRO. 48970-000 Senhor do Bonfim - BA."
2255,75498,ESCOLA MUNICIPAL CACADOR,BA,Senhor do Bonfim,"POVOADO DE CACADOR, SN IGARA. 48970-000 Senhor do Bonfim - BA."
2256,75499,ESCOLA MUNICIPAL DA FAZ TAPUIA,BA,Senhor do Bonfim,"FAZ TAPUIA, SN IGARA. 48970-000 Senhor do Bonfim - BA."
2257,75500,ESCOLA MUNICIPAL DOS PEREIROS,BA,Senhor do Bonfim,"FAZENDA PEREIROS, SN IGARA. 48970-000 Senhor do Bonfim - BA."
2258,75501,ESCOLA MUNICIPAL DE 1 GRAU OSCAR CARDOSO,BA,Senhor do Bonfim,"AVENIDA RUI BARBOSA, 107 IGARA. 48970-000 Senhor do Bonfim - BA."
2259,75502,ESCOLA MUNICIPAL HERCULANO ALMEIDA LIMA,BA,Senhor do Bonfim,"RUA CASTRO ALVES, SN IGARA. 48970-000 Senhor do Bonfim - BA."
2260,75503,ESCOLA MUNICIPAL PRINCESA ISABEL - FAZ RANCHARIA,BA,Senhor do Bonfim,"FAZENDA RANCHARIA, SN IGARA. 48970-000 Senhor do Bonfim - BA."
2261,75504,ESCOLA MUNICIPAL ALTO BONITO,BA,Senhor do Bonfim,"FAZENDA ALTO BONITO, SN TIJUACU. 48970-000 Senhor do Bonfim - BA."
2262,75505,ESCOLA MUNICIPAL ANTONIO JOSE DE SOUZA,BA,Senhor do Bonfim,"RUA DO MATADOURO, SN TIJUACU. 48970-000 Senhor do Bonfim - BA."
2263,75506,ESCOLA MUNICIPAL DO CAZUMBA I,BA,Senhor do Bonfim,"POVOADO DE CAZUMBA, SN TIJUACU. 48970-000 Senhor do Bonfim - BA."
2264,75507,ESCOLA MUNICIPAL DE QUEBRA FACAO,BA,Senhor do Bonfim,"FAZENDA QUEBRA FACAO, SN PREDIO. TIJUACU. 48970-000 Senhor do Bonfim - BA."
2265,75508,ESCOLA MUNICIPAL DE TANQUINHO,BA,Senhor do Bonfim,"POVOADO DE TANQUINHO, SN TIJUACU. 48970-000 Senhor do Bonfim - BA."
2266,75509,ESCOLA MUNICIPAL DE 1 GRAU DE TIJUACU,BA,Senhor do Bonfim,"PRACA DO COMERCIO, SN PREDIO. DISTRITO DE TIJUACU. 48970-000 Senhor do Bonfim - BA."
2267,75510,CENTRO EDUCACIONAL DOUTOR JEOVANDO LOPES DE ALMEIDA,BA,Umburanas,"AVENIDA LIBORINO LOPES DE ALMEIDA, 295 PREDIO. CENTRO. 44798-000 Umburanas - BA."
2268,75511,ESCOLA MUNICIPAL GUILHERME MARQUES DE AMORIM,BA,Umburanas,"POVOADO DE SUMIDOURO, SN PREDIO. 44798-000 Umburanas - BA."
2269,75512,ESC MUNICIPAL ANIBAL FELIX DA GAMA,BA,Umburanas,"POVOADO DE BARRIGUDA DO ANIBAL, SN PREDIO. ZONA RURAL. 44798-000 Umburanas - BA."
2270,75513,ESC MUNICIPAL EIGIDIO RIBEIRO DA SILVA,BA,Umburanas,"POVOADO DE LAOA DO ANGICO, PREDIO. 44798-000 Umburanas - BA."
2271,75514,ESCOLA ESTADUAL MARIA SOUZA DE OLIVEIRA,BA,Umburanas,"PRACA FLORISVALDO CARNEIRO, 44798-000 Umburanas - BA."
2272,75515,ESCOLA AURELIO JOSE MARQUES,BA,América Dourada,"POVOADO DO ALEGRE, PREDIO. 44910-000 América Dourada - BA."
2273,75516,ESCOLA LUIS PEREIRA BORGES,BA,América Dourada,"RUA DA QUADRA, S/N PREDIO. LAGOA DOS BORGES. 44910-000 América Dourada - BA."
2274,75517,ESCOLA MANOEL AUGUSTO DOURADO,BA,América Dourada,"PRACA DO COMERCIO, SN PREDIO. 44910-000 América Dourada - BA."
2275,75518,ESCOLA MUNICIPAL LOURIVAL BISPO DO ROSARIO,BA,América Dourada,"PRACA DA EDUCACAO, 732 PREDIO. 44910-000 América Dourada - BA."
2276,75519,ESCOLA MUNICIPAL ELISIO ALVES DA SILVA,BA,América Dourada,"POVOADO DE MAXIMINO, S/N PREDIO. 44910-000 América Dourada - BA."
2277,75520,ESCOLA NECY NOVAES,BA,América Dourada,"PRACA DA EDUCACAO, S/N PREDIO. DISTRITO DE PREVENIDO. 44910-000 América Dourada - BA."
2278,75521,ESCOLA MUNICIPAL ADELCI MARQUES DAS NEVES,BA,América Dourada,"POVOADO DE LAPINHA, PREDIO. 44910-000 América Dourada - BA."
2279,75522,EE - COLEGIO ESTADUAL SAO SEBASTIAO,BA,América Dourada,"R. RUA NESTOR BORGES, 100 CENTRO. 44910-000 América Dourada - BA."
2280,75523,ESCOLA ANTONIO CARLOS MAGALHAES,BA,América Dourada,"RUA DA JAQUEIRA, POVAODO DE IPANEMA. 44910-000 América Dourada - BA."
2281,75524,ESCOLA LINDENALVA ARAUJO PIRES,BA,América Dourada,"POVOADO DE MULUNGU, S/N PREDIO. POVOADO. 44910-000 América Dourada - BA."
2282,75525,ESCOLA MUNICIPAL VALDENI BATISTA CARDOZO,BA,América Dourada,"RUA DO PREDIO, S/N PREDIO. POVOADO DE IPANEMA. 44910-000 América Dourada - BA."
2283,75526,ESCOLA NESTOR BORGES,BA,América Dourada,"LAGOA DOS BORGES, 44910-000 América Dourada - BA."
2284,75527,GRUPO ESCOLAR GUALTER CARDOSO PEREIRA,BA,América Dourada,"RUA DA FLORESTA, 384 PREDIO. SOARES. 44910-000 América Dourada - BA."
2285,75528,ESCOLA PROFESSORA MARIA EUGENIA DOURADO,BA,América Dourada,"AVENIDA ROMAO GRAMACHO, 75 PREDIO. CENTRO. 44910-000 América Dourada - BA."
2286,75529,GRUPO ESCOLAR MANOEL JORGE DE SOUZA,BA,América Dourada,"RUA SEVERIANO NETO, S/N PREDIO. DISTRITO DE PREVENIDO. 44910-000 América Dourada - BA."
2287,75530,ESCOLA MUNICIPAL AGENOR MARQUES DAS NEVES,BA,América Dourada,"RUA DOS MOREIRAS, S/N PREDIO. NOVA AMERICA. 44910-000 América Dourada - BA."
2288,75531,ESCOLA MUNICIPAL DE SARANDI,BA,América Dourada,"POVOADO DE SARANDI, PREDIO. 44910-000 América Dourada - BA."
2289,75532,ESCOLA MUNICIPAL AGNELO FRANCISCO ALVES,BA,América Dourada,"RUA CANTINHO DO CEU, PREDIO. CASA. 44910-000 América Dourada - BA."
2290,75533,ESCOLA MUNICIPAL AGNELO CAVALCANTE DOS SANTOS,BA,América Dourada,"LOTEAMENTO AGNELO CAVALCANTE DOS SANTOS, SN PREDIO. PREVENIDO. 44910-000 América Dourada - BA."
2291,75534,ESCOLA SANTA RITA DE CASSIA,BA,América Dourada,"POVOADO DE CAMPO ALEGRE, S/N PREDIO. POVOADO. 44910-000 América Dourada - BA."
2292,75535,ESCOLA MUNICIPAL DURVAL SOUZA BAGANO,BA,América Dourada,"PRACA DA EDUCACAO, SN PREDIO. PREVENIDO. 44910-000 América Dourada - BA."
2293,75536,ESCOLA MUNICIPAL DE TERRA NOVA,BA,América Dourada,"POVOADO DE TERRA NOVA, PREDIO. 44910-000 América Dourada - BA."
2294,75537,COLEGIO MUNICIPAL CLEONICE MENDONCA,BA,Barra do Mendes,"POVOADO DE QUEIMADA DO MENDES, S/N PREDIO. QUEIMADA DO MENDES. 44990-000 Barra do Mendes - BA."
2295,75538,EE - COLEGIO ESTADUAL EDIVALDO MACHADO BOAVENTURA,BA,Barra do Mendes,"RUA DALILA DULCE DE OLIVEIRA, SN CENTRO. 44990-000 Barra do Mendes - BA."
2296,75539,ESCOLA DALILA DULCE DE OLIVEIRA,BA,Barra do Mendes,"POVOADO DE QUEIMADA DO MENDES, S/N ESCOLA. QUEIMADA DO MENDES. 44990-000 Barra do Mendes - BA."
2297,75540,ESCOLA SAO JOSE,BA,Barra do Mendes,"POVOADO DE VOLTA DO ABDON, S/N POVOADO. ZONA RURAL. 44990-000 Barra do Mendes - BA."
2298,75541,ESCOLA MUNICIPAL NOSSA SENHORA APARECIDA,BA,Barra do Mendes,"VILA DE ANTARI, S/N, ZONA RURAL. CENTRO. 44996-970 Barra do Mendes - BA."
2299,75542,CRECHE MUNICIPAL BEZERRA DE MENEZES,BA,Barra do Mendes,"RUA VENCESLAU SOUSA PACHECO, 00 CASA. CENTRO. 44990-000 Barra do Mendes - BA."
2300,75543,ESCOLA MUNICIPAL DE 1º GRAU NECY NOVAES,BA,Barra do Mendes,"RUA DALILA DULCE DE OLIVEIRA, 20 PREDIO ESCOLAR. CENTRO. 44990-000 Barra do Mendes - BA."
2301,75544,ESCOLA MUNICIPAL JOSE BENICIO DE MATOS,BA,Barra do Mendes,"POVOADO DE CAPIM DURO, SN CASA. ZONA RURAL. 44990-000 Barra do Mendes - BA."
2302,75545,ESCOLA MANOEL NOVAES,BA,Barra do Mendes,"POVOADO DE SAO BENTO, POVOADO. 44990-000 Barra do Mendes - BA."
2303,75546,ESCOLA MUNICIPAL ANTONIO CARLOS MAGALHAES,BA,Barra do Mendes,"RUA DALILA DULCE DE OLIVEIRA, S/N CASA. CENTRO. 44990-000 Barra do Mendes - BA."
2304,75547,GRUPO ESCOLAR DR AURELINO ALVES BARRETO,BA,Barra do Mendes,"RUA PADRE JOAO CRISTIANN APPELBOON, 50 ESCOLA. CENTRO. 44990-000 Barra do Mendes - BA."
2305,75548,ESC JOSE DE ALENCAR,BA,Barra do Mendes,"POVOADO DE SPINOLA, S/N CASA. ZONA RURAL. 44990-000 Barra do Mendes - BA."
2306,75549,ESCOLA MUNICIPAL MARIA DE LOURDES SODRE DOS SANTOS BASTOS,BA,Barra do Mendes,"POVOADO DE CAPIM DURO, SN CASA. ZONA RURAL. 44990-000 Barra do Mendes - BA."
2307,75550,ESCOLA OTAVIO MANGABEIRA,BA,Barra do Mendes,"DISTRITO DE MINAS DO ESPIRITO SANTO, S/N CASA. ZONA RURAL. 44990-000 Barra do Mendes - BA."
2308,75551,CENTRO DE ESTUDOS HOZANA BATISTA DE OLIVEIRA,BA,Barro Alto,"RUA 9 DE MAIO, 144 PREDIO ESCOLAR. LAGOA FUNDA. 44895-000 Barro Alto - BA."
2309,75552,CRECHE CASULO SAGRADO CORACAO DE JESUS,BA,Barro Alto,"AVENIDA SANTANA, 344 PREDIO ESCOLAR. CENTRO. 44895-000 Barro Alto - BA."
2310,75553,ESCOLA MUNICIPAL BOM JESUS,BA,Barro Alto,"POVOADO DE LAGOA DO BOI, SN PREDIO. LAGOA DO BOI. 44895-000 Barro Alto - BA."
2311,75554,ESCOLA MUNICIPAL CASTRO ALVES,BA,Barro Alto,"POVOADO DE VOLTA GRANDE, SN PREDIO. VOLTA GRANDE. 44895-000 Barro Alto - BA."
2312,75555,ESCOLA MUNICIPAL CASTRO ALVES,BA,Barro Alto,"POVOADO DE MORRINHOS, SN PREDIO ESCOLAR. MORRINHOS. 44895-000 Barro Alto - BA."
2313,75556,ESCOLA MUNICIPAL CASTRO ALVES,BA,Barro Alto,"POVOADO DE PENDAO VERMELHO, SN CASA. PENDAO VERMELHO. 44895-000 Barro Alto - BA."
2314,75557,ESCOLA MUNICIPAL COSTA E SILVA,BA,Barro Alto,"POVOAO DE LAGEDINHO, SN PREDIO. LAGEDINHO. 44895-000 Barro Alto - BA."
2315,75558,ESCOLA MUNICIPAL DE 1º GRAU EDIVALDO SANTOS LOPES,BA,Barro Alto,"PRACA DA BANDEIRA, 402 PREDIO. CENTRO. 44895-000 Barro Alto - BA."
2316,75559,ESCOLA MUNICIPAL JOANA ANGELICA,BA,Barro Alto,"RUA DO GINASIO, 104 PREDIO ESCOLAR. GAMELEIRA. 44895-000 Barro Alto - BA."
2317,75560,ESCOLA MUNICIPAL MARIA QUITERIA,BA,Barro Alto,"POVOADO DE BAIXA FUNDA DOS IZIDIOS, SN PREDIO. POVOADO. 44895-000 Barro Alto - BA."
2318,75561,ESCOLA MUNICIPAL RUI BARBOSA,BA,Barro Alto,"POVOADO DE CALDEIRAO, SN PREDIO. CALDEIRAO. 44895-000 Barro Alto - BA."
2319,75562,ESCOLA MUNICIPAL RUI BARBOSA,BA,Barro Alto,"RUA DO PREDIO, SN PREDIO ESCOLAR. PE DE LIMAO. 44895-000 Barro Alto - BA."
2320,75563,ESCOLA MUNICIPAL SANTA TEREZINHA,BA,Barro Alto,"POVOADO DE QUEIMADA DO RUFINO, SN PREDIO. QUEIMADA DO RUFINO. 44895-000 Barro Alto - BA."
2321,75564,ESCOLA MUNICIPAL TIRADENTES,BA,Barro Alto,"RUA ANTONIO PAULO DE SOUSA, SN PREDIO ESCOLAR. BARREIRO. 44895-000 Barro Alto - BA."
2322,75565,ESCOLA MUNICIPAL JOSE TEIXEIRA,BA,Barro Alto,"POVOADO DE QUEIMADA DO CLARO, SN PREDIO. QUEIMADA DO CLARO. 44895-000 Barro Alto - BA."
2323,75566,COLEGIO TANCREDO LIMA,BA,Barro Alto,"RUA DO GINASIO, 114 PREDIO ESCOLAR. GAMELEIRA. 44895-000 Barro Alto - BA."
2324,75567,ESCOLA MUNICIPAL DUQUE DE CAXIAS,BA,Barro Alto,"POVOADO DE HONORATO, SN PREDIO ESCOLAR. HONORATO. 44895-000 Barro Alto - BA."
2325,75568,ESCOLA MUNICIPAL JULIAO RODRIGUES,BA,Barro Alto,"RUA POLO NORDESTE, SN PREDIO. FORMOSA. 44895-000 Barro Alto - BA."
2326,75569,EE - COLEGIO ESTADUAL NECY NOVAIS,BA,Barro Alto,"R. PRACA DA BANDEIRA, 282 PREDIO. CENTRO. 44895-000 Barro Alto - BA."
2327,75570,ESCOLA MUNICIPAL AGOSTINHO JOSE DE SOUZA,BA,Cafarnaum,"RUA DA PRACA, S/N ESCOLA. RECIFE. 44880-000 Cafarnaum - BA."
2328,75571,ESCOLA MUNICIPAL GETULIO VARGAS,BA,Cafarnaum,"HELIO MARQUES BARRETO, SN PREDIO. CANAL. 44880-000 Cafarnaum - BA."
2329,75572,ESCOLA MUNICIPAL ARLETE GOIS,BA,Cafarnaum,"RUA EUCLIDES DA CUNHA, S/N PREDIO. CENTRO. 44880-000 Cafarnaum - BA."
2330,75573,ESCOLA MUNICIPAL AGOSTINHO RIBEIRO DA FONSECA,BA,Cafarnaum,"LAGOA DE AGOSTINHO, SN PREDIO ESCOLAR. RURAL. 44880-000 Cafarnaum - BA."
2331,75574,ESCOLA MUNICIPAL MANOEL LOTERIO JOSE DE SOUZA,BA,Cafarnaum,"POVOADO DE PEDRAS, S/N PREDIO. POVOADO. 44880-000 Cafarnaum - BA."
2332,75575,ESCOLA MUNICIPAL RUI BARBOSA,BA,Cafarnaum,"POVOADO DO BECA, S/N PREDIO. BECA. 44880-000 Cafarnaum - BA."
2333,75576,ESCOLA MUNICIPAL DE 1º GRAU PROF ROBERTO SANTOS,BA,Cafarnaum,"PRACA JOSE TEODORO DE JESUS, S/N PREDIO. CENTRO. 44880-000 Cafarnaum - BA."
2334,75577,ESCOLA MUNICIPAL LUDUGERIO FERREIRA DE CARVALHO,BA,Cafarnaum,"RUA LUDUGERIO, S/N ESCOLA. RECIFE. 44880-000 Cafarnaum - BA."
2335,75578,ESCOLA MUNICIPAL MARIA ANTONIA ROSA DE JESUS,BA,Cafarnaum,"CONQUISTA, SN 44880-000 Cafarnaum - BA."
2336,75579,ESCOLA MUNICIPAL LUIZ VIANA NETO,BA,Cafarnaum,"POVOADO DE QUEIMADA DE TIANO, S/N PREDIO. QUEIMADA DE TIANO. 44880-000 Cafarnaum - BA."
2337,75580,ESCOLA MUNICIPAL DOM PEDRO II,BA,Cafarnaum,"COMUNIDADE DE CAFARNAUNZINHO, S/Nº PREDIO. POVOADO. 44880-000 Cafarnaum - BA."
2338,75581,ESCOLA MUNICIPAL DE 1º GRAU CASSIANO MARTINS,BA,Cafarnaum,"RUA HELIO MARQUES BARRETO, SN PREDIO. POVOADO DE CANAL. 44880-000 Cafarnaum - BA."
2339,75582,ESCOLA MUNICIPAL RIACHUELO,BA,Cafarnaum,"POVOADO GRAMA II, S/N PREDIO. RURAL. 44880-000 Cafarnaum - BA."
2340,75583,EE - COLEGIO ESTADUAL IMACULADA CONCEICAO,BA,Cafarnaum,"NULL CIRILO TOME DA SILVA, 00028 PREDIO ESCOLAR. CENTRO. 44880-000 Cafarnaum - BA."
2341,75584,PRE ESCOLA DESCOBRINDO O SABER,BA,Cafarnaum,"RUA EUCLIDES DA CUNHA, S/N PREDIO. CENTRO. 44880-000 Cafarnaum - BA."
2342,75585,ESCOLA JOAO SEMEAO,BA,Canarana,"POVOADO DE LICURI DE SEMEAO, 44890-000 Canarana - BA."
2343,75586,ESCOLA JOSE BRITO DOS ANJOS,BA,Canarana,"RUA CASTRO ALVES, POVOADO DE LAGOA DO ZECA, SN PREDIO. ZONA RURAL. 44890-000 Canarana - BA."
2344,75587,ESCOLA DE 1º GRAU JOSE FRANCISCO NUNES,BA,Canarana,"PRACA GERALDO GONCALVES PEREIRA, SN PREDIO. BAIXA DO VIGARIO. 44890-000 Canarana - BA."
2345,75588,EE - COLEGIO ESTADUAL MAXIMINO MARTINS - DISTRITO DE SALOBRO,BA,Canarana,"PCA. PRACA CATAO DOURADO, 00020 TR,TR,TR. CENTRO. 44892-000 Canarana - BA."
2346,75589,EE - COLEGIO ESTADUAL JOSE RIBEIRO DE ARAUJO,BA,Canarana,"R. RUA 16 DE JULHO, 177 CENTRO. 44890-000 Canarana - BA."
2347,75590,ESCOLA FAUSTINIANO LOPES RIBEIRO,BA,Canarana,"RUA 16 DE JULHO, S/N CENTRO. 44890-000 Canarana - BA."
2348,75591,ESCOLA ISAIAS LEMOS,BA,Canarana,"RUA DO CAMPO, 117 PREDIO ESCOLAR. POVOADO DE MATO VERDE. 44890-000 Canarana - BA."
2349,75592,ESCOLA JULIO PEREIRA BORGES,BA,Canarana,"POVOADO BREJINHO, SN PREDIO. ZONA RURAL. 44890-000 Canarana - BA."
2350,75593,ESCOLA NELCINA MARTINS PEREIRA,BA,Canarana,"POVOADO DE LAGOA CLARA I, CASA. POVOADO. 44890-000 Canarana - BA."
2351,75594,ESCOLA VALNEI JOSE PEREIRA,BA,Canarana,"POVOADO DE CAPIVARA, 44890-000 Canarana - BA."
2352,75595,ESCOLA VIDEVAL SEIXAS DOURADO,BA,Canarana,"POVOADO DE CRUZEIRO, POVOADO. 44890-000 Canarana - BA."
2353,75596,GRUPO ESCOLAR GUILHERME PEREIRA DE NOVAES,BA,Canarana,"RUA GUILHERME PEREIRA DE NOVAES, 44890-000 Canarana - BA."
2354,75597,GRUPO ESCOLAR JOSE MARTINS FILHO,BA,Canarana,"RUA 16 DE JULHO, S/N PREDIO. CENTRO. 44890-000 Canarana - BA."
2355,75598,CENTRO EDUCACIONAL OTAVIO MANGABEIRA,BA,Canarana,"PRACA HONORATO VIANA, 103 PREDIO. POV. LAGOA VELHA. 44890-000 Canarana - BA."
2356,75599,COLEGIO MUNICIPAL CATAO DOURADO,BA,Canarana,"RUA JOAO PAULO II, S/N CASA. CENTRO. 44892-000 Canarana - BA."
2357,75600,ESCOLA BOAVENTURA TELES DE SOUZA,BA,Canarana,"POVOADO DESCOBERTO, SN PREDIO. ZONA RURAL. 44890-000 Canarana - BA."
2358,75601,ESCOLA DE 1 E 2 GRAU MIGUEL JOSE ALVES,BA,Canarana,"PRACA DO PREDIO, 100 ESCOLA. UMBURANA DO QUERE. 44890-000 Canarana - BA."
2359,75602,ESCOLA OLIMPIO JOSE PEREIRA,BA,Canarana,"QUEIMADADE JOAO MARTINS, SN PREDIO. ZONA RURAL. 44890-000 Canarana - BA."
2360,75603,ESCOLA ROGERIO CARDOSO DOURADO,BA,Canarana,"POVOADO DE PLANALTO, 00 PREDIO. POVOADO. 44892-000 Canarana - BA."
2361,75604,GRUPO ESCOLAR FELIX DE SA,BA,Canarana,"RUA JOVELINO MARTINS, SN PREDIO. SALOBRO. 44892-000 Canarana - BA."
2362,75605,ESCOLA MUNICIPAL CASTELO BRANCO,BA,Central,"POVOADO DE TANQUE NOVO, SN CASA. ZONA RURAL. 44940-000 Central - BA."
2363,75606,ESCOLA MUNICIPAL EUZEBIO FERREIRA BRITO,BA,Central,"POVOADO DE LARGUINHA, S/N PREDIO ESCOLAR. ZONA RURAL. 44940-000 Central - BA."
2364,75607,ESCOLA MUNICIPAL MANOEL LOURENCO DA ROCHA,BA,Central,"POVOADO DE TRAIRAS, S/N ZONA RURAL. 44940-000 Central - BA."
2365,75608,ESCOLA MUNICIPAL TERTULIANO EVANGELISTA DE SOUZA,BA,Central,"POVOADO DE MORRO DE GREGORIO, 44940-000 Central - BA."
2366,75609,ESCOLA MUNICIPAL VILLA-LOBOS,BA,Central,"POVOADO DE CAPOEIRA DA SERRA, S/N PREDIO ESCOLAR. ZONA RURAL. 44940-000 Central - BA."
2367,75610,EE - COLEGIO ESTADUAL JOSE DE SOUZA MACHADO,BA,Central,"R. RUA D PEDRO II, CENTRO. 44940-000 Central - BA."
2368,75611,ESCOLA MUNICIPAL GERALDINO MIGUEL DA COSTA,BA,Central,"POVOADO DE ROCADINHO, SN ZONA RURAL. 44940-000 Central - BA."
2369,75612,ESCOLA MUNICIPAL JOAO RIBEIRO MACIEL,BA,Central,"POVOADO DE NOVA VISTA, S/N ZONA RURAL. 44940-000 Central - BA."
2370,75613,ESCOLA MUNICIPAL JOVINIANO FERREIRA DO AMARAL,BA,Central,"POVOADO DE CALDEIRAOZINHO, S/N ZONA RURAL. 44940-000 Central - BA."
2371,75614,ESCOLA MUNICIPAL MAXIMINIANO FERREIRA DOS SANTOS,BA,Central,"POVOADO DE FAZENDINHA, S/N ZONA RURAL. 44940-000 Central - BA."
2372,75615,ESCOLA MUNICIPAL AURELIO AMARAL,BA,Central,"POVOADO DE GAVIAO, S/N ZONA RURAL. 44940-000 Central - BA."
2373,75616,ESCOLA MUNICIPAL PRINCESA ISABEL,BA,Central,"POVOADO DE CAROA, S/N ZONA RURAL. 44940-000 Central - BA."
2374,75617,ESCOLA MUNICIPAL DOM BOSCO,BA,Central,"POVOADO DE BOA VISTA 2, CASA. ZONA RURAL. 44940-000 Central - BA."
2375,75618,ESCOLA MUNICIPAL JOAO EVANGELISTA DE ANDRADE,BA,Central,"POVOADO DE BOI DE HERMANO, S/N ZONA RURAL. 44940-000 Central - BA."
2376,75619,ESCOLA MUNICIPAL JUSCELINO KUBISTCHECK,BA,Central,"POVOADO DE VEREDA, S/N CASA. ZONA RURAL. 44940-000 Central - BA."
2377,75620,ESCOLA MUNICIPAL PAULO MARTINS DE CARVALHO,BA,Central,"POVOADO DE NOVA VISTA, ZONA RURAL. 44940-000 Central - BA."
2378,75621,ESCOLA MUNICIPAL ZUMBI DOS PALMARES,BA,Central,"POVOADO DE LAGOA DO MARTINHO, S/N ZONA RURAL. 44940-000 Central - BA."
2379,75622,ESCOLA MUNICIPAL LUIZ VIANA FILHO,BA,Central,"RUA EGIDIO FERREIRA DOS SANTOS, 158 CENTRO. 44940-000 Central - BA."
2380,75623,ESCOLA MUNICIPALIZADA PROFESSOR ROBERTO SANTOS,BA,Central,"RUA JUTHAY MAGALHAES JUNIOR, 140 PREDIO. CENTRO. 44940-000 Central - BA."
2381,75624,ESCOLA MUNICIPAL RAMILO LIBERATO DOS SANTOS,BA,Central,"RUA 15 DE NOVEMBRO, POVOADO DE PALMEIRAS, S/N 44940-000 Central - BA."
2382,75625,CASTELO BRANCO,BA,Gentio do Ouro,"POVOADO DE SAO FELIPE 2, PREDIO. ZONA RURAL. 47450-000 Gentio do Ouro - BA."
2383,75626,CENTRO EDUCACIONAL MUNICIPAL DE GENTIO DO OURO,BA,Gentio do Ouro,"PRACA VANDERLINO VIEIRA, PREDIO. CENTRO. 47450-000 Gentio do Ouro - BA."
